cycle,event,id,type,temporal_reference,bank,hold_total
573482874,DISPLAY,214,3,9,2,147662987
573589311,READY,215,3,10,3,147662987
573589473,START,216,1,2,-1,147662987
576047936,START,217,3,0,-1,147662987
576047937,READY,216,1,2,1,147662987
576483968,DISPLAY,215,3,10,3,148099018
578485968,DISPLAY,213,2,11,0,148099019
578669870,READY,217,3,0,2,148099019
578669873,START,218,3,1,-1,148099020
580835521,READY,218,3,1,3,148099020
580835523,START,219,2,5,-1,148099020
581490874,DISPLAY,217,3,0,2,148099020
583492874,DISPLAY,218,3,1,3,148099020
583678140,READY,219,2,5,2,148099020
583678141,START,220,3,3,-1,148099020
585770142,READY,220,3,3,2,148099020
587496874,DISPLAY,216,1,2,1,149825750
587496875,START,221,3,4,-1,149825751
589609929,READY,221,3,4,3,149825751
589609931,START,222,2,8,-1,149825751
590497968,DISPLAY,220,3,3,2,149825751
592467363,READY,222,2,8,0,149825751
593502874,START,223,3,6,-1,150861261
593502874,DISPLAY,221,3,4,3,150861261
595504874,DISPLAY,219,2,5,2,150861261
595591644,READY,223,3,6,2,150861261
595591647,START,224,3,7,-1,150861262
597672219,READY,224,3,7,3,150861262
597672221,START,225,2,11,-1,150861262
598505968,DISPLAY,223,3,6,2,150861262
600493520,READY,225,2,11,1,150861262
600507968,START,226,3,9,-1,150875709
600507968,DISPLAY,224,3,7,3,150875709
602572046,READY,226,3,9,2,150875709
603512875,DISPLAY,222,2,8,0,151816536
603512876,START,227,3,10,-1,151816537
605514875,DISPLAY,226,3,9,2,151816537
605588271,READY,227,3,10,3,151816537
605588433,START,228,1,2,-1,151816537
608144928,START,229,3,0,-1,151816537
608144929,READY,228,1,2,2,151816537
608515968,DISPLAY,227,3,10,3,152187576
610517968,DISPLAY,225,2,11,1,152187577
610519282,READY,229,3,0,2,152187577
610519285,START,230,3,1,-1,152187578
612443921,READY,230,3,1,3,152187578
612443923,START,231,2,5,-1,152187578
613522875,DISPLAY,229,3,0,2,152187578
615171100,READY,231,2,5,0,152187578
615524875,START,232,3,3,-1,152541352
615524875,DISPLAY,230,3,1,3,152541352
617399612,READY,232,3,3,2,152541352
619528875,DISPLAY,228,1,2,2,154670613
619528876,START,233,3,4,-1,154670614
621411374,READY,233,3,4,3,154670614
621411376,START,234,2,8,-1,154670614
622529968,DISPLAY,232,3,3,2,154670614
624194403,READY,234,2,8,1,154670614
625534875,START,235,3,6,-1,156011085
625534875,DISPLAY,233,3,4,3,156011085
627450323,READY,235,3,6,2,156011085
627536875,DISPLAY,231,2,5,0,156097635
627536876,START,236,3,7,-1,156097636
629434212,READY,236,3,7,3,156097636
629434214,START,237,2,11,-1,156097636
630537968,DISPLAY,235,3,6,2,156097636
632117793,READY,237,2,11,2,156097636
632539968,START,238,3,9,-1,156519810
632539968,DISPLAY,236,3,7,3,156519810
634423627,READY,238,3,9,2,156519810
635544875,DISPLAY,234,2,8,1,157641056
635544876,START,239,3,10,-1,157641057
637409339,READY,239,3,10,3,157641057
637409501,START,240,1,2,-1,157641057
637546875,DISPLAY,238,3,9,2,157641057
639939323,START,241,3,0,-1,157641057
639939324,READY,240,1,2,0,157641057
640547968,DISPLAY,239,3,10,3,158249701
642510632,READY,241,3,0,2,158249702
642549968,DISPLAY,237,2,11,2,158289036
642549969,START,242,3,1,-1,158289037
644451062,READY,242,3,1,3,158289037
644451064,START,243,2,5,-1,158289037
645554875,DISPLAY,241,3,0,2,158289037
647063410,READY,243,2,5,1,158289037
647556875,START,244,3,3,-1,158782501
647556875,DISPLAY,242,3,1,3,158782501
649362277,READY,244,3,3,2,158782501
651560875,DISPLAY,240,1,2,0,160981097
651560876,START,245,3,4,-1,160981098
653358239,READY,245,3,4,3,160981098
653358241,START,246,2,8,-1,160981098
654561969,DISPLAY,244,3,3,2,160981098
656003509,READY,246,2,8,2,160981098
657566875,START,247,3,6,-1,162544463
657566875,DISPLAY,245,3,4,3,162544463
659393609,READY,247,3,6,2,162544463
659568875,DISPLAY,243,2,5,1,162719727
659568876,START,248,3,7,-1,162719728
661381506,READY,248,3,7,3,162719728
661381508,START,249,2,11,-1,162719728
662569969,DISPLAY,247,3,6,2,162719728
663986495,READY,249,2,11,0,162719728
664571969,START,250,3,9,-1,163305201
664571969,DISPLAY,248,3,7,3,163305201
666363423,READY,250,3,9,2,163305201
667576875,DISPLAY,246,2,8,2,164518651
667576876,START,251,3,10,-1,164518652
669369695,READY,251,3,10,3,164518652
669369857,START,252,1,2,-1,164518652
669578875,DISPLAY,250,3,9,2,164518652
671862404,START,253,3,0,-1,164518652
671862405,READY,252,1,2,1,164518652
672579969,DISPLAY,251,3,10,3,165236216
674452060,READY,253,3,0,2,165236217
674581969,DISPLAY,249,2,11,0,165366124
674581970,START,254,3,1,-1,165366125
676375663,READY,254,3,1,3,165366125
676375665,START,255,2,5,-1,165366125
677586875,DISPLAY,253,3,0,2,165366125
678971148,READY,255,2,5,2,165366125
679588875,START,256,3,3,-1,165983851
679588875,DISPLAY,254,3,1,3,165983851
681295618,READY,256,3,3,2,165983851
683592876,DISPLAY,252,1,2,1,168281107
683592877,START,257,3,4,-1,168281108
685284783,READY,257,3,4,3,168281108
685284785,START,258,2,8,-1,168281108
686593969,DISPLAY,256,3,3,2,168281108
687869848,READY,258,2,8,0,168281108
689598876,START,259,3,6,-1,170010135
689598876,DISPLAY,257,3,4,3,170010135
691340680,READY,259,3,6,2,170010135
691600876,DISPLAY,255,2,5,2,170270329
691600877,START,260,3,7,-1,170270330
693296577,READY,260,3,7,3,170270330
693296579,START,261,2,11,-1,170270330
694601969,DISPLAY,259,3,6,2,170270330
695923101,READY,261,2,11,1,170270330
696603969,START,262,3,9,-1,170951197
696603969,DISPLAY,260,3,7,3,170951197
698303146,READY,262,3,9,2,170951197
699608876,DISPLAY,258,2,8,0,172256925
699608877,START,263,3,10,-1,172256926
701263447,READY,263,3,10,3,172256926
701263609,START,264,1,2,-1,172256926
701610876,DISPLAY,262,3,9,2,172256926
703655706,START,265,3,0,-1,172256926
703655707,READY,264,1,2,2,172256926
704611969,DISPLAY,263,3,10,3,173213188
706360075,READY,265,3,0,2,173213189
706613969,DISPLAY,261,2,11,1,173467081
706613970,START,266,3,1,-1,173467082
708242570,READY,266,3,1,3,173467082
708242572,START,267,2,5,-1,173467082
709618876,DISPLAY,265,3,0,2,173467082
710688275,READY,267,2,5,0,173467082
711620876,START,268,3,3,-1,174399682
711620876,DISPLAY,266,3,1,3,174399682
713254502,READY,268,3,3,2,174399682
715624876,DISPLAY,264,1,2,2,176770054
715624877,START,269,3,4,-1,176770055
717286435,READY,269,3,4,3,176770055
717286437,START,270,2,8,-1,176770055
718625969,DISPLAY,268,3,3,2,176770055
719863285,READY,270,2,8,1,176770055
721630876,START,271,3,6,-1,178537645
721630876,DISPLAY,269,3,4,3,178537645
723357571,READY,271,3,6,2,178537645
723632876,DISPLAY,267,2,5,0,178812948
723632877,START,272,3,7,-1,178812949
725382160,READY,272,3,7,3,178812949
725382162,START,273,2,11,-1,178812949
726633969,DISPLAY,271,3,6,2,178812949
728004760,READY,273,2,11,2,178812949
728635969,START,274,3,9,-1,179444157
728635969,DISPLAY,272,3,7,3,179444157
730442809,READY,274,3,9,2,179444157
731640876,DISPLAY,270,2,8,1,180642222
731640877,START,275,3,10,-1,180642223
733449512,READY,275,3,10,3,180642223
733449674,START,276,1,2,-1,180642223
733642876,DISPLAY,274,3,9,2,180642223
735842682,START,277,3,0,-1,180642223
735842683,READY,276,1,2,0,180642223
736643970,DISPLAY,275,3,10,3,181443510
738353471,READY,277,3,0,2,181443511
738645970,DISPLAY,273,2,11,2,181736008
738645971,START,278,3,1,-1,181736009
740276573,READY,278,3,1,3,181736009
740276575,START,279,2,5,-1,181736009
741650876,DISPLAY,277,3,0,2,181736009
742786423,READY,279,2,5,1,181736009
743652876,START,280,3,3,-1,182602461
743652876,DISPLAY,278,3,1,3,182602461
745292757,READY,280,3,3,2,182602461
747656876,DISPLAY,276,1,2,0,184966578
747656877,START,281,3,4,-1,184966579
749355166,READY,281,3,4,3,184966579
749355168,START,282,2,8,-1,184966579
750657970,DISPLAY,280,3,3,2,184966579
751937321,READY,282,2,8,2,184966579
753662876,START,283,3,6,-1,186692133
753662876,DISPLAY,281,3,4,3,186692133
755405393,READY,283,3,6,2,186692133
755664876,DISPLAY,279,2,5,1,186951614
755664877,START,284,3,7,-1,186951615
757425074,READY,284,3,7,3,186951615
757425076,START,285,2,11,-1,186951615
758665970,DISPLAY,283,3,6,2,186951615
760091463,READY,285,2,11,0,186951615
760667970,START,286,3,9,-1,187528121
760667970,DISPLAY,284,3,7,3,187528121
762410013,READY,286,3,9,2,187528121
763672876,DISPLAY,282,2,8,2,188790982
763672877,START,287,3,10,-1,188790983
765427041,READY,287,3,10,3,188790983
765427203,START,288,1,2,-1,188790983
765674877,DISPLAY,286,3,9,2,188790983
767817337,READY,288,1,2,1,188790983
768675970,DISPLAY,287,3,10,3,189649615
770677970,DISPLAY,285,2,11,0,189649615
774681970,DISPLAY,288,1,2,1,193653615
