cycle,event,id,type,temporal_reference,bank,hold_total
200107963,DISPLAY,77,2,7,0,79280631
201540890,READY,81,2,11,2,79280631
201540891,START,82,3,9,-1,79280631
203112870,DISPLAY,80,2,8,1,79280632
203558333,READY,82,3,9,2,79280632
203558335,START,83,3,10,-1,79280632
205114870,DISPLAY,82,3,9,2,79280632
205624424,READY,83,3,10,3,79280632
205624586,START,84,1,2,-1,79280632
207823202,START,85,3,0,-1,79280632
207823203,READY,84,1,2,0,79280632
208115963,DISPLAY,83,3,10,3,79573392
209837928,READY,85,3,0,2,79573393
210117963,DISPLAY,81,2,11,2,79853426
210117964,START,86,3,1,-1,79853427
211875554,READY,86,3,1,3,79853427
211875556,START,87,2,3,-1,79853427
213122870,DISPLAY,85,3,0,2,79853427
214202438,READY,87,2,3,1,79853427
215124870,START,88,2,4,-1,80775858
215124870,DISPLAY,86,3,1,3,80775858
217542309,READY,88,2,4,2,80775858
218125963,START,89,2,5,-1,81359511
218125963,DISPLAY,84,1,2,0,81359511
220127963,DISPLAY,87,2,3,1,83361510
222605950,READY,89,2,5,0,83361510
222605951,START,90,2,6,-1,83361510
223132870,DISPLAY,88,2,4,2,83888428
225134870,DISPLAY,89,2,5,0,83888428
225646406,READY,90,2,6,1,83888428
225646407,START,91,2,7,-1,83888428
228135963,DISPLAY,90,2,6,1,83888428
228207742,READY,91,2,7,2,83888428
228207743,START,92,2,8,-1,83888428
230137963,DISPLAY,91,2,7,2,83888428
230793803,READY,92,2,8,0,83888428
230793804,START,93,2,9,-1,83888428
233142870,DISPLAY,92,2,8,0,83888428
233380378,READY,93,2,9,1,83888428
233380379,START,94,2,10,-1,83888428
235144870,DISPLAY,93,2,9,1,83888428
235993514,READY,94,2,10,2,83888428
235993515,START,95,2,11,-1,83888428
238145964,DISPLAY,94,2,10,2,83888428
238620386,READY,95,2,11,0,83888428
238620547,START,96,1,2,-1,83888428
240147964,DISPLAY,95,2,11,0,83888428
240923851,START,97,3,0,-1,83888428
240923852,READY,96,1,2,1,83888428
243065127,READY,97,3,0,2,83888428
243065129,START,98,3,1,-1,83888428
243152870,DISPLAY,97,3,0,2,83888428
245111656,READY,98,3,1,3,83888428
245111658,START,99,2,5,-1,83888428
245154870,DISPLAY,98,3,1,3,83888428
247775458,READY,99,2,5,2,83888428
247775459,START,100,3,3,-1,83888428
248155964,DISPLAY,96,1,2,1,83888428
249816016,READY,100,3,3,2,83888428
249816019,START,101,3,4,-1,83888429
250157964,DISPLAY,100,3,3,2,83888429
251874281,READY,101,3,4,3,83888429
251874283,START,102,2,8,-1,83888429
253162870,DISPLAY,101,3,4,3,83888429
254687002,READY,102,2,8,0,83888429
254687003,START,103,3,6,-1,83888429
255164870,DISPLAY,99,2,5,2,83888429
256862392,READY,103,3,6,2,83888429
256862395,START,104,3,7,-1,83888430
258165964,DISPLAY,103,3,6,2,83888430
259036266,READY,104,3,7,3,83888430
259036268,START,105,2,11,-1,83888430
260167964,DISPLAY,104,3,7,3,83888430
261930497,READY,105,2,11,1,83888430
261930498,START,106,3,9,-1,83888430
263172870,DISPLAY,102,2,8,0,83888430
264177840,READY,106,3,9,2,83888430
264177843,START,107,3,10,-1,83888431
265174871,DISPLAY,106,3,9,2,83888431
266433247,READY,107,3,10,3,83888431
266433409,START,108,1,2,-1,83888431
268175964,DISPLAY,107,3,10,3,83888431
268765546,START,109,3,0,-1,83888431
