cycle,event,id,field,byte,selected_id,candidate_id,candidate_ready,cadence_slot,pts_active,pts_due,stc,display_pts,display_pts_valid,tff,rff,present,generation,decoder_wait,presentation_wait,destination_wait,writer_wait,state,decoder_ready,cache_ready,prefill_miss,phase_error,overlap_error
48958867,FIELD,19,47,22685,19,20,1,0,0,0,121441,93047,0,0,0,1,19,18873528,30062654,0,1113191,1677727051,1,1,0,0,0
49957960,FIELD,19,48,22685,19,20,1,1,0,0,122939,93047,0,0,0,1,19,18873528,31061747,0,1113191,1677727051,1,1,0,0,0
49957961,START,22,49,22686,20,18,1,0,0,0,122939,93047,0,0,1,1,19,18873528,31061748,0,1113191,1677727075,1,1,0,0,0
49957961,SELECT,20,49,22686,20,18,1,0,0,0,122939,93047,0,0,1,1,19,18873528,31061748,0,1113191,1677727075,1,1,0,0,0
50045667,PUBLISH,20,49,22768,20,18,1,0,0,0,123071,93047,0,0,1,1,20,18961151,31061748,0,1115375,1628743011,0,1,0,0,0
50684600,READY,22,49,23068,20,18,1,0,0,0,124029,93047,0,0,1,1,20,19599784,31061748,0,1164962,1628743011,0,1,0,0,0
50960867,FIELD,20,49,23069,20,18,1,0,0,0,124444,93047,0,0,1,1,20,19599785,31338013,0,1164962,1628841315,1,1,0,0,0
51959960,FIELD,20,50,23069,20,18,1,0,0,0,125942,93047,0,0,1,1,20,19599785,32337106,0,1164962,1628841315,1,1,0,0,0
52962867,FIELD,20,51,23069,20,18,1,1,0,0,127447,93047,0,0,1,1,20,19599785,33340013,0,1164962,1628841315,1,1,0,0,0
52962868,SELECT,18,52,23069,18,21,0,0,0,0,127447,93047,0,1,0,1,20,19599785,33340014,0,1164962,1662395683,1,1,0,0,0
52962869,START,23,52,23070,18,22,1,0,0,0,127447,93047,0,1,0,1,21,19599785,33340015,0,1164962,1610613361,1,0,0,0,0
53046760,PUBLISH,18,52,23152,18,22,1,0,0,0,127573,93047,0,1,0,1,21,19683593,33340015,0,1167222,1610613877,0,1,0,0,0
53689625,READY,23,52,23452,18,22,1,0,0,0,128537,93047,0,1,0,1,21,20326158,33340015,0,1217202,1610613877,0,1,0,0,0
53689787,START,24,52,23614,18,22,1,0,0,0,128537,93047,0,1,0,1,21,20326159,33340015,0,1217202,1610613881,1,1,0,0,0
53961960,FIELD,18,52,24802,18,22,1,0,0,0,128945,93047,0,1,0,1,21,20597143,33340015,0,1231067,1610615931,0,1,0,0,0
54964867,FIELD,18,53,29152,18,22,1,1,0,0,130450,93047,0,1,0,1,21,21595700,33340015,0,1276699,1610615931,0,1,0,0,0
54964868,SELECT,22,54,29152,22,23,1,0,0,0,130450,93047,0,1,1,1,21,21595701,33340015,0,1276699,1610616139,0,1,0,0,0
55048760,PUBLISH,22,54,29517,22,23,1,0,0,0,130576,93047,0,1,1,1,22,21679228,33340015,0,1277453,1610616139,0,1,0,0,0
55232018,PTS,3,54,30309,22,23,1,0,0,0,130851,93047,0,1,1,1,22,21861695,33340015,0,1286589,1610616139,1,1,0,0,0
55388259,START,25,54,30982,22,23,1,0,0,0,131085,93047,0,1,1,1,22,22017263,33340015,0,1294218,1610616139,1,1,0,0,0
55388260,READY,24,54,30982,22,23,1,0,0,0,131085,93047,0,1,1,1,22,22017263,33340015,0,1294218,1610616139,1,1,0,0,0
55963960,FIELD,22,54,30982,22,23,1,0,0,0,131948,93047,0,1,1,1,22,22017263,33915715,0,1294218,1677727051,1,1,0,0,0
56966867,FIELD,22,55,30982,22,23,1,0,0,0,133453,93047,0,1,1,1,22,22017263,34918622,0,1294218,1677727051,1,1,0,0,0
57965960,FIELD,22,56,30982,22,23,1,1,0,0,134951,93047,0,1,1,1,22,22017263,35917715,0,1294218,1677727051,1,1,0,0,0
57965961,SELECT,23,57,30982,23,21,1,0,0,0,134951,93047,0,0,0,1,22,22017263,35917716,0,1294218,1677727075,1,1,0,0,0
58053667,PUBLISH,23,57,31064,23,21,1,0,0,0,135083,93047,0,0,0,1,23,22104886,35917717,0,1296613,1628743011,0,1,0,0,0
58692456,READY,25,57,31380,23,21,1,0,0,0,136041,93047,0,0,0,1,23,22743359,35917717,0,1346177,1628743011,0,1,0,0,0
58968867,FIELD,23,57,31381,23,21,1,0,0,0,136456,93047,0,0,0,1,23,22743360,36194126,0,1346177,1628841315,1,1,0,0,0
59967960,FIELD,23,58,31381,23,21,1,1,0,0,137954,93047,0,0,0,1,23,22743360,37193219,0,1346177,1628841315,1,1,0,0,0
59967961,SELECT,21,59,31381,21,24,0,0,0,0,137954,93047,0,0,1,1,23,22743360,37193220,0,1346177,1662395683,1,1,0,0,0
